Stellar Sequence
Central Pressure Range = 1.5 to 450 MeVfm^3
Number of Stars = 500
h = 15 meters
r0 = 5 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 3.25965932e+02   1.17200000e+01               nan    1.09090026e+03
 3.26864729e+02   1.17200000e+01               nan    1.09283686e+03
 3.29561122e+02   1.17050000e+01               nan    1.09863907e+03
 3.30459920e+02   1.18700000e+01    2.06919939e+00    1.10057065e+03
 3.34953908e+02   1.16900000e+01               nan    1.11021010e+03
 3.37650301e+02   1.16750000e+01               nan    1.11597931e+03
 3.42144289e+02   1.16600000e+01               nan    1.12557106e+03
 3.45739479e+02   1.16450000e+01               nan    1.13322339e+03
 3.50233467e+02   1.16300000e+01               nan    1.14276261e+03
 3.53828657e+02   1.16150000e+01               nan    1.15037337e+03
 3.54727455e+02   1.16150000e+01               nan    1.15227325e+03
 3.58322645e+02   1.16000000e+01               nan    1.15986179e+03
 3.60120240e+02   1.16000000e+01               nan    1.16364957e+03
 3.62816633e+02   1.15850000e+01               nan    1.16932324e+03
 3.67310621e+02   1.15700000e+01               nan    1.17875842e+03
 3.71804609e+02   1.15550000e+01               nan    1.18816794e+03
 3.72703407e+02   1.17050000e+01    2.06863456e+00    1.19004680e+03
 3.75399800e+02   1.15400000e+01               nan    1.19567726e+03
 3.76298597e+02   1.15400000e+01               nan    1.19755205e+03
 3.77197395e+02   1.16900000e+01    2.06838486e+00    1.19942582e+03
 3.79893788e+02   1.15250000e+01               nan    1.20504103e+03
 3.80792585e+02   1.15250000e+01               nan    1.20691073e+03
 3.81691383e+02   1.16750000e+01    2.06810457e+00    1.20877942e+03
 3.84387776e+02   1.15100000e+01               nan    1.21437957e+03
 3.85286573e+02   1.15100000e+01               nan    1.21624434e+03
 3.86185371e+02   1.16600000e+01    2.06779503e+00    1.21810815e+03
 3.89780561e+02   1.14950000e+01               nan    1.22555406e+03
 3.93375752e+02   1.14800000e+01               nan    1.23298547e+03
 3.94274549e+02   1.14800000e+01               nan    1.23484108e+03
 3.98768537e+02   1.14650000e+01               nan    1.24410557e+03
 4.04161323e+02   1.14500000e+01               nan    1.25519274e+03
 4.07756513e+02   1.14350000e+01               nan    1.26256595e+03
 4.08655311e+02   1.14350000e+01               nan    1.26440703e+03
 4.12250501e+02   1.14200000e+01               nan    1.27176273e+03
 4.13149299e+02   1.14200000e+01               nan    1.27359953e+03
 4.14946894e+02   1.14200000e+01               nan    1.27727064e+03
 4.17643287e+02   1.14050000e+01               nan    1.28277114e+03
 4.18542084e+02   1.14050000e+01               nan    1.28460299e+03
 4.22137275e+02   1.13900000e+01               nan    1.29192216e+03
 4.23036072e+02   1.13900000e+01               nan    1.29374989e+03
 4.27530060e+02   1.13750000e+01               nan    1.30287621e+03
 4.28428858e+02   1.13750000e+01               nan    1.30469901e+03
 4.32024048e+02   1.13600000e+01               nan    1.31198214e+03
 4.32922846e+02   1.13600000e+01               nan    1.31380093e+03
 4.38315631e+02   1.13450000e+01               nan    1.32469731e+03
 4.42809619e+02   1.13300000e+01               nan    1.33375671e+03
 4.47303607e+02   1.13150000e+01               nan    1.34279733e+03
 4.48202405e+02   1.13150000e+01               nan    1.34460320e+03
