Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 2.04025620e+02   1.11300000e+01    1.81208255e+00    7.47603431e+02
 2.05223379e+02   1.11250000e+01    1.81476660e+00    7.49245166e+02
 2.06421137e+02   1.11250000e+01    1.81742709e+00    7.50883140e+02
 2.07618895e+02   1.11200000e+01    1.82006431e+00    7.52517247e+02
 2.08816653e+02   1.11200000e+01    1.82267847e+00    7.54147381e+02
 2.10014412e+02   1.11150000e+01    1.82526978e+00    7.55773438e+02
 2.11212170e+02   1.11150000e+01    1.82783857e+00    7.57395311e+02
 2.12409928e+02   1.11100000e+01    1.83038514e+00    7.59012896e+02
 2.13607686e+02   1.11100000e+01    1.83290974e+00    7.60626113e+02
 2.14805444e+02   1.11050000e+01    1.83541263e+00    7.62235033e+02
 2.16003203e+02   1.11050000e+01    1.83789412e+00    7.63839773e+02
 2.17200961e+02   1.11000000e+01    1.84035439e+00    7.65440454e+02
 2.18398719e+02   1.11000000e+01    1.84279359e+00    7.67037195e+02
 2.19596477e+02   1.10950000e+01    1.84521203e+00    7.68630113e+02
 2.20794235e+02   1.10950000e+01    1.84761000e+00    7.70219329e+02
 2.21991994e+02   1.10900000e+01    1.84998772e+00    7.71804962e+02
 2.23189752e+02   1.10900000e+01    1.85234545e+00    7.73387129e+02
 2.24387510e+02   1.10850000e+01    1.85468341e+00    7.74965876e+02
 2.25585268e+02   1.10850000e+01    1.85700165e+00    7.76541122e+02
 2.26783026e+02   1.10800000e+01    1.85930047e+00    7.78112770e+02
 2.27980785e+02   1.10800000e+01    1.86158017e+00    7.79680724e+02
 2.29178543e+02   1.10750000e+01    1.86384094e+00    7.81244888e+02
 2.30376301e+02   1.10750000e+01    1.86608305e+00    7.82805168e+02
 2.31574059e+02   1.10700000e+01    1.86830661e+00    7.84361467e+02
 2.32771817e+02   1.10700000e+01    1.87051172e+00    7.85913688e+02
 2.33969576e+02   1.10650000e+01    1.87269874e+00    7.87461739e+02
 2.35167334e+02   1.10650000e+01    1.87486788e+00    7.89005606e+02
 2.36365092e+02   1.10600000e+01    1.87701936e+00    7.90545431e+02
 2.37562850e+02   1.10600000e+01    1.87915337e+00    7.92081370e+02
 2.38760608e+02   1.10550000e+01    1.88126991e+00    7.93613579e+02
 2.39958367e+02   1.10550000e+01    1.88336931e+00    7.95142216e+02
 2.41156125e+02   1.10500000e+01    1.88545181e+00    7.96667435e+02
