Stellar Sequence
Central Pressure Range = 1.5 to 450.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 7.69083267e+01   1.30950000e+01    1.67263939e+00    4.78210515e+02
 7.72674139e+01   1.30950000e+01    1.67478222e+00    4.79290489e+02
 7.76265012e+01   1.30900000e+01    1.67691053e+00    4.80368789e+02
 7.79855885e+01   1.30900000e+01    1.67902467e+00    4.81445428e+02
 7.83446757e+01   1.30850000e+01    1.68112449e+00    4.82520433e+02
 7.87037630e+01   1.30850000e+01    1.68321028e+00    4.83593853e+02
 7.90628503e+01   1.30800000e+01    1.68528206e+00    4.84665736e+02
 7.94219376e+01   1.30800000e+01    1.68734003e+00    4.85736132e+02
 7.97810248e+01   1.30750000e+01    1.68938439e+00    4.86805089e+02
 8.01401121e+01   1.30750000e+01    1.69141508e+00    4.87872658e+02
 8.04991994e+01   1.30700000e+01    1.69343238e+00    4.88938888e+02
 8.08582866e+01   1.30700000e+01    1.69543623e+00    4.90003826e+02
 8.12173739e+01   1.30650000e+01    1.69742702e+00    4.91067494e+02
 8.15764612e+01   1.30650000e+01    1.69940462e+00    4.92129869e+02
 8.19355484e+01   1.30650000e+01    1.70136925e+00    4.93190927e+02
 8.22946357e+01   1.30600000e+01    1.70332093e+00    4.94250646e+02
 8.26537230e+01   1.30600000e+01    1.70525992e+00    4.95309001e+02
 8.30128102e+01   1.30550000e+01    1.70718626e+00    4.96365968e+02
 8.33718975e+01   1.30550000e+01    1.70910003e+00    4.97421522e+02
 8.37309848e+01   1.30500000e+01    1.71100132e+00    4.98475641e+02
 8.40900721e+01   1.30500000e+01    1.71289032e+00    4.99528308e+02
 8.44491593e+01   1.30450000e+01    1.71476714e+00    5.00579535e+02
 8.48082466e+01   1.30450000e+01    1.71663182e+00    5.01629342e+02
 8.51673339e+01   1.30400000e+01    1.71848444e+00    5.02677747e+02
 8.55264211e+01   1.30400000e+01    1.72032520e+00    5.03724767e+02
 8.58855084e+01   1.30350000e+01    1.72215419e+00    5.04770422e+02
 8.62445957e+01   1.30350000e+01    1.72397146e+00    5.05814729e+02
 8.66036829e+01   1.30300000e+01    1.72577706e+00    5.06857708e+02
 8.69627702e+01   1.30300000e+01    1.72757124e+00    5.07899376e+02
 8.73218575e+01   1.30300000e+01    1.72935400e+00    5.08939743e+02
 8.76809448e+01   1.30250000e+01    1.73112546e+00    5.09978814e+02
 8.80400320e+01   1.30250000e+01    1.73288560e+00    5.11016591e+02
 8.83991193e+01   1.30200000e+01    1.73463478e+00    5.12053077e+02
 8.87582066e+01   1.30200000e+01    1.73637284e+00    5.13088274e+02
 8.91172938e+01   1.30150000e+01    1.73810001e+00    5.14122186e+02
 8.94763811e+01   1.30150000e+01    1.73981624e+00    5.15154815e+02
 8.98354684e+01   1.30100000e+01    1.74152188e+00    5.16186165e+02
 9.01945556e+01   1.30100000e+01    1.74321678e+00    5.17216239e+02
 9.05536429e+01   1.30050000e+01    1.74490106e+00    5.18245057e+02
 9.09127302e+01   1.30050000e+01    1.74657492e+00    5.19272651e+02
 9.12718175e+01   1.30000000e+01    1.74823837e+00    5.20299053e+02
 9.16309047e+01   1.30000000e+01    1.74989150e+00    5.21324294e+02
 9.19899920e+01   1.29950000e+01    1.75153429e+00    5.22348405e+02
 9.23490793e+01   1.29950000e+01    1.75316713e+00    5.23371420e+02
 9.27081665e+01   1.29900000e+01    1.75478981e+00    5.24393368e+02
 9.30672538e+01   1.29900000e+01    1.75640246e+00    5.25414283e+02
 9.34263411e+01   1.29900000e+01    1.75800526e+00    5.26434194e+02
 9.37854283e+01   1.29850000e+01    1.75959822e+00    5.27453110e+02
 9.41445156e+01   1.29850000e+01    1.76118143e+00    5.28471014e+02
 9.45036029e+01   1.29800000e+01    1.76275487e+00    5.29487890e+02
 9.48626902e+01   1.29800000e+01    1.76431888e+00    5.30503722e+02
 9.52217774e+01   1.29750000e+01    1.76587329e+00    5.31518492e+02
 9.55808647e+01   1.29750000e+01    1.76741818e+00    5.32532186e+02
 9.59399520e+01   1.29700000e+01    1.76895382e+00    5.33544785e+02
 9.62990392e+01   1.29700000e+01    1.77048009e+00    5.34556274e+02
