Stellar Sequence
Central Pressure Range = 4.0 to 1000.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 9.80976781e+01   1.16850000e+01    1.48831038e+00    5.87496306e+02
 9.88951161e+01   1.16850000e+01    1.49214466e+00    5.89578808e+02
 9.96925540e+01   1.16800000e+01    1.49593758e+00    5.91654729e+02
 1.00489992e+02   1.16750000e+01    1.49968981e+00    5.93724003e+02
 1.01287430e+02   1.16750000e+01    1.50340198e+00    5.95786762e+02
 1.02084868e+02   1.16700000e+01    1.50707468e+00    5.97843340e+02
 1.02882306e+02   1.16700000e+01    1.51070847e+00    5.99894081e+02
 1.03679744e+02   1.16650000e+01    1.51430393e+00    6.01939326e+02
 1.04477182e+02   1.16600000e+01    1.51786161e+00    6.03979226e+02
 1.05274620e+02   1.16600000e+01    1.52138209e+00    6.06013578e+02
 1.06072058e+02   1.16550000e+01    1.52486590e+00    6.08042143e+02
 1.06869496e+02   1.16500000e+01    1.52831357e+00    6.10064681e+02
 1.07666934e+02   1.16500000e+01    1.53172562e+00    6.12081028e+02
 1.08464371e+02   1.16450000e+01    1.53510258e+00    6.14091397e+02
 1.09261809e+02   1.16450000e+01    1.53844495e+00    6.16096118e+02
 1.10059247e+02   1.16400000e+01    1.54175322e+00    6.18095519e+02
 1.10856685e+02   1.16350000e+01    1.54502788e+00    6.20089923e+02
 1.11654123e+02   1.16350000e+01    1.54826939e+00    6.22079464e+02
 1.12451561e+02   1.16300000e+01    1.55147821e+00    6.24064056e+02
 1.13248999e+02   1.16300000e+01    1.55465478e+00    6.26043604e+02
 1.14046437e+02   1.16250000e+01    1.55779957e+00    6.28018013e+02
 1.14843875e+02   1.16200000e+01    1.56091301e+00    6.29987209e+02
 1.15641313e+02   1.16200000e+01    1.56399553e+00    6.31951250e+02
 1.16438751e+02   1.16150000e+01    1.56704755e+00    6.33910252e+02
 1.17236189e+02   1.16100000e+01    1.57006950e+00    6.35864327e+02
 1.18033627e+02   1.16100000e+01    1.57306178e+00    6.37813590e+02
 1.18831065e+02   1.16050000e+01    1.57602479e+00    6.39758141e+02
 1.19628503e+02   1.16000000e+01    1.57895892e+00    6.41698042e+02
 1.20425941e+02   1.16000000e+01    1.58186456e+00    6.43633348e+02
 1.21223379e+02   1.15950000e+01    1.58474207e+00    6.45564113e+02
 1.22020817e+02   1.15950000e+01    1.58759183e+00    6.47490392e+02
 1.22818255e+02   1.15900000e+01    1.59041421e+00    6.49412225e+02
 1.23615693e+02   1.15850000e+01    1.59320957e+00    6.51329622e+02
 1.24413131e+02   1.15850000e+01    1.59597825e+00    6.53242589e+02
 1.25210568e+02   1.15800000e+01    1.59872060e+00    6.55151131e+02
 1.26008006e+02   1.15750000e+01    1.60143697e+00    6.57055254e+02
 1.26805444e+02   1.15750000e+01    1.60412770e+00    6.58954988e+02
 1.27602882e+02   1.15700000e+01    1.60679311e+00    6.60850417e+02
 1.28400320e+02   1.15650000e+01    1.60943353e+00    6.62741636e+02
 1.29197758e+02   1.15650000e+01    1.61204929e+00    6.64628737e+02
 1.29995196e+02   1.15600000e+01    1.61464066e+00    6.66511815e+02
