Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 2.27980785e+02   1.15500000e+01    1.88841585e+00    8.23260356e+02
 2.29178543e+02   1.15450000e+01    1.89004507e+00    8.25217218e+02
 2.30376301e+02   1.15450000e+01    1.89165907e+00    8.27169759e+02
 2.31574059e+02   1.15400000e+01    1.89325805e+00    8.29118007e+02
 2.32771817e+02   1.15350000e+01    1.89484217e+00    8.31061989e+02
 2.33969576e+02   1.15300000e+01    1.89641165e+00    8.33001733e+02
 2.35167334e+02   1.15250000e+01    1.89796663e+00    8.34937268e+02
 2.36365092e+02   1.15200000e+01    1.89950727e+00    8.36868621e+02
 2.37562850e+02   1.15150000e+01    1.90103375e+00    8.38795821e+02
 2.38760608e+02   1.15100000e+01    1.90254627e+00    8.40718895e+02
 2.39958367e+02   1.15050000e+01    1.90404494e+00    8.42637870e+02
 2.41156125e+02   1.15000000e+01    1.90552994e+00    8.44552776e+02
 2.42353883e+02   1.14950000e+01    1.90700142e+00    8.46463640e+02
 2.43551641e+02   1.14950000e+01    1.90845958e+00    8.48370491e+02
 2.44749400e+02   1.14900000e+01    1.90990453e+00    8.50273355e+02
 2.45947158e+02   1.14850000e+01    1.91133641e+00    8.52172260e+02
 2.47144916e+02   1.14800000e+01    1.91275540e+00    8.54067236e+02
 2.48342674e+02   1.14750000e+01    1.91416165e+00    8.55958310e+02
 2.49540432e+02   1.14700000e+01    1.91555527e+00    8.57845509e+02
 2.50738191e+02   1.14700000e+01    1.91693643e+00    8.59728861e+02
 2.51935949e+02   1.14650000e+01    1.91830528e+00    8.61608396e+02
 2.53133707e+02   1.14600000e+01    1.91966192e+00    8.63484140e+02
 2.54331465e+02   1.14550000e+01    1.92100649e+00    8.65356121e+02
 2.55529223e+02   1.14500000e+01    1.92233915e+00    8.67224368e+02
 2.56726982e+02   1.14450000e+01    1.92366005e+00    8.69088908e+02
 2.57924740e+02   1.14450000e+01    1.92496928e+00    8.70949770e+02
 2.59122498e+02   1.14400000e+01    1.92626698e+00    8.72806981e+02
 2.60320256e+02   1.14350000e+01    1.92755328e+00    8.74660569e+02
 2.61518014e+02   1.14300000e+01    1.92882830e+00    8.76510562e+02
 2.62715773e+02   1.14250000e+01    1.93009215e+00    8.78356988e+02
 2.63913531e+02   1.14200000e+01    1.93134497e+00    8.80199875e+02
 2.65111289e+02   1.14200000e+01    1.93258691e+00    8.82039251e+02
 2.66309047e+02   1.14150000e+01    1.93381803e+00    8.83875145e+02
 2.67506805e+02   1.14100000e+01    1.93503848e+00    8.85707582e+02
 2.68704564e+02   1.14050000e+01    1.93624837e+00    8.87536593e+02
 2.69902322e+02   1.14000000e+01    1.93744779e+00    8.89362205e+02
 2.71100080e+02   1.13950000e+01    1.93863686e+00    8.91184445e+02
 2.72297838e+02   1.13950000e+01    1.93981572e+00    8.93003342e+02
 2.73495596e+02   1.13900000e+01    1.94098447e+00    8.94818923e+02
 2.74693355e+02   1.13850000e+01    1.94214317e+00    8.96631217e+02
 2.75891113e+02   1.13800000e+01    1.94329196e+00    8.98440251e+02
 2.77088871e+02   1.13800000e+01    1.94443097e+00    9.00246054e+02
 2.78286629e+02   1.13750000e+01    1.94556026e+00    9.02048653e+02
 2.79484388e+02   1.13700000e+01    1.94667994e+00    9.03848077e+02
 2.80682146e+02   1.13650000e+01    1.94779013e+00    9.05644352e+02
 2.81879904e+02   1.13600000e+01    1.94889091e+00    9.07437508e+02
 2.83077662e+02   1.13550000e+01    1.94998237e+00    9.09227572e+02
 2.84275420e+02   1.13550000e+01    1.95106463e+00    9.11014572e+02
 2.85473179e+02   1.13500000e+01    1.95213775e+00    9.12798536e+02
 2.86670937e+02   1.13450000e+01    1.95320185e+00    9.14579492e+02
 2.87868695e+02   1.13450000e+01    1.95425703e+00    9.16357467e+02
 2.89066453e+02   1.13400000e+01    1.95530334e+00    9.18132491e+02
 2.90264211e+02   1.13350000e+01    1.95634089e+00    9.19904590e+02
 2.91461970e+02   1.13300000e+01    1.95736981e+00    9.21673793e+02
 2.92659728e+02   1.13250000e+01    1.95839012e+00    9.23440128e+02
 2.93857486e+02   1.13200000e+01    1.95940192e+00    9.25203622e+02
 2.95055244e+02   1.13200000e+01    1.96040535e+00    9.26964304e+02
 2.96253002e+02   1.13150000e+01    1.96140042e+00    9.28722202e+02
 2.97450761e+02   1.13100000e+01    1.96238723e+00    9.30477341e+02
 2.98648519e+02   1.13100000e+01    1.96336592e+00    9.32229738e+02
 2.99846277e+02   1.13050000e+01    1.96433650e+00    9.33979406e+02
 3.01044035e+02   1.13000000e+01    1.96529906e+00    9.35726355e+02
 3.02241793e+02   1.12950000e+01    1.96625373e+00    9.37470598e+02
 3.03439552e+02   1.12900000e+01    1.96720052e+00    9.39212146e+02
 3.04637310e+02   1.12900000e+01    1.96813953e+00    9.40951012e+02
 3.05835068e+02   1.12850000e+01    1.96907087e+00    9.42687208e+02
 3.07032826e+02   1.12800000e+01    1.96999456e+00    9.44420745e+02
 3.08230584e+02   1.12750000e+01    1.97091071e+00    9.46151634e+02
 3.09428343e+02   1.12750000e+01    1.97181938e+00    9.47879889e+02
 3.10626101e+02   1.12700000e+01    1.97272064e+00    9.49605521e+02
 3.11823859e+02   1.12650000e+01    1.97361455e+00    9.51328542e+02
 3.13021617e+02   1.12600000e+01    1.97450122e+00    9.53048963e+02
 3.14219376e+02   1.12600000e+01    1.97538068e+00    9.54766797e+02
 3.15417134e+02   1.12550000e+01    1.97625300e+00    9.56482055e+02
 3.16614892e+02   1.12500000e+01    1.97711829e+00    9.58194749e+02
 3.17812650e+02   1.12500000e+01    1.97797656e+00    9.59904892e+02
 3.19010408e+02   1.12450000e+01    1.97882790e+00    9.61612495e+02
 3.20208167e+02   1.12400000e+01    1.97967240e+00    9.63317569e+02
 3.21405925e+02   1.12350000e+01    1.98051006e+00    9.65020128e+02
 3.22603683e+02   1.12350000e+01    1.98134103e+00    9.66720182e+02
 3.23801441e+02   1.12300000e+01    1.98216529e+00    9.68417744e+02
 3.24999199e+02   1.12250000e+01    1.98298294e+00    9.70112825e+02
 3.26196958e+02   1.12250000e+01    1.98379405e+00    9.71805438e+02
 3.27394716e+02   1.12200000e+01    1.98459867e+00    9.73495594e+02
